bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,1
4,6,0,2
5,46,1,8
6,317,3,60
7,1679,76,363
8,3969,426,1710
9,4163,1486,3863
10,3159,3567,4131
11,2305,3909,3536
12,1593,3422,3110
13,944,2880,2297
14,632,2005,1637
15,446,1231,1481
16,443,864,1366
17,476,808,1355
18,529,909,1314
19,520,968,1301
20,558,1014,1349
21,527,1017,1231
22,572,982,1285
23,597,953,1143
24,575,962,1182
25,586,942,1113
26,669,939,1044
27,576,878,967
28,606,877,879
29,644,842,852
30,624,793,811
31,642,809,726
32,600,769,769
33,587,678,710
34,528,643,641
35,539,617,694
36,515,605,603
37,484,495,768
38,520,535,839
39,501,520,961
40,475,486,1146
41,447,454,1293
42,459,445,1443
43,473,447,1515
44,413,447,1453
45,411,401,1444
46,391,408,1337
47,356,403,1310
48,367,382,1190
49,378,382,1131
50,347,384,910
51,363,380,920
52,378,391,960
53,340,404,993
54,314,429,1135
55,282,425,1076
56,300,423,1089
57,293,464,1030
58,304,579,995
59,278,665,850
60,270,784,870
61,274,877,873
62,247,899,904
63,265,1018,927
64,281,1093,952
65,281,1188,1035
66,255,1207,965
67,242,1225,965
68,259,1082,889
69,269,969,803
70,280,897,821
71,291,806,856
72,290,694,788
73,277,673,810
74,290,656,854
75,338,699,821
76,309,756,809
77,342,740,748
78,343,867,699
79,373,894,779
80,383,914,804
81,433,911,847
82,454,889,792
83,556,909,810
84,532,949,826
85,592,891,766
86,613,762,786
87,621,784,812
88,669,774,828
89,721,906,846
90,852,846,848
91,1059,919,892
92,1119,935,793
93,1215,1056,777
94,1173,997,882
95,1145,1067,977
96,1124,1107,996
97,1117,1104,1012
98,1045,1102,1035
99,928,1126,991
100,881,1038,1026
101,992,1108,924
102,1057,1202,710
103,1130,1340,630
104,1160,1278,521
105,1250,1322,504
106,1355,1376,484
107,1512,1461,456
108,1341,1496,417
109,1378,1341,444
110,1288,1226,422
111,1256,1167,372
112,1289,1139,398
113,1241,1161,390
114,1206,1175,427
115,1244,1187,385
116,1181,1164,385
117,1180,1167,412
118,1231,1076,380
119,1299,1050,422
120,1275,913,410
121,1251,920,427
122,1225,865,392
123,1247,864,463
124,1212,753,410
125,1178,737,468
126,1313,659,471
127,1283,632,517
128,1303,603,560
129,1274,524,606
130,1280,536,602
131,1367,533,707
132,1526,508,807
133,1609,577,849
134,1687,673,920
135,1721,695,908
136,1712,798,1001
137,1834,869,1099
138,1954,957,1230
139,1965,1050,1152
140,1927,1109,1115
141,1825,1280,1260
142,1835,1258,1176
143,1774,1220,1333
144,1932,1158,1325
145,1879,1097,1299
146,1808,1088,1263
147,1836,1046,1179
148,1717,1093,1126
149,1681,1098,1048
150,1593,1085,1033
151,1561,998,949
152,1503,1058,1024
153,1535,1000,1128
154,1614,1100,1297
155,1819,1068,1549
156,2148,1174,1812
157,2608,1206,2284
158,3006,1415,2837
159,3327,1650,3467
160,3599,1901,3918
161,3809,2373,4206
162,3913,2952,4391
163,3919,3512,4594
164,4137,3700,4964
165,4298,3820,5635
166,4844,4014,6327
167,5525,4037,7308
168,6497,4194,7779
169,6942,4583,7499
170,7042,5562,7033
171,6888,6462,6249
172,6504,7237,5783
173,6323,7740,5715
174,6001,7671,5938
175,5932,7273,6414
176,6485,6894,6482
177,6870,6469,6719
178,7474,6849,6605
179,7297,7159,6175
180,6625,7843,6097
181,6540,7748,6315
182,6338,7115,6033
183,6059,7229,5292
184,5577,7352,3627
185,3978,7104,1693
186,2003,6110,666
187,776,3734,236
188,174,1452,68
189,34,435,15
190,6,103,2
191,3,31,0
192,0,2,0
193,0,3,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
